#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AE376F
#Date Time: 2020-07-29 17:11:36.258
#Sample rate: 961538Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 550 mV Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 20 mV
#Offset: -30 mV
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: Rdy
#Voltage: -5 V

Time (s),Channel 2 (V)
-0.004658021333333333,0.3950667309213489
-0.004656981333333333,0.3890268533216629
-0.004655941333333333,0.3836580732330531
-0.004654901333333334,0.3769470981222908
-0.004653861333333334,0.3712427692781455
-0.004652821333333334,0.3648673429229217
-0.004651781333333333,0.3588274653232301
-0.004650741333333333,0.3527875877235435
-0.004649701333333333,0.3457410638572464
-0.004648661333333333,0.3410433812797128
-0.004647621333333333,0.3346679549244887
-0.004646581333333333,0.3272858823026502
-0.004645541333333334,0.3209104559474261
-0.004644501333333334,0.3162127733698946
-0.004643461333333334,0.3088307007480574
-0.004642421333333333,0.303126371903903
-0.004641381333333333,0.2960798480376058
-0.004640341333333333,0.2910466167045341
-0.004639301333333333,0.2840000928382337
-0.004638261333333333,0.2772891177274715
-0.004637221333333334,0.2712492401277855
-0.004636181333333334,0.2665515575502541
-0.004635141333333334,0.2595050336839548
-0.004634101333333333,0.2521229610621104
-0.004633061333333333,0.246083083462425
-0.004632021333333333,0.2413854008848935
-0.004630981333333333,0.2333322307519788
-0.004629941333333333,0.2266212556412166
-0.004628901333333334,0.2209169267970687
-0.004627861333333334,0.2148770491973854
-0.004626821333333334,0.2078305253310855
-0.004625781333333333,0.2017906477313937
-0.004624741333333333,0.196086318887245
-0.004623701333333333,0.1887042462654099
-0.004622661333333333,0.1819932711546477
-0.004621621333333333,0.1752822960438855
-0.004620581333333333,0.1699135159552757
-0.004619541333333334,0.1625314433334372
-0.004618501333333334,0.15548491946714
-0.004617461333333333,0.1484383956008344
-0.004616421333333333,0.1437407130233002
-0.004615381333333333,0.1377008354236169
-0.004614341333333333,0.1313254090683928
-0.004613301333333333,0.1246144339576305
-0.004612261333333333,0.1175679100913302
-0.004611221333333334,0.1101858374694917
-0.004610181333333334,0.1041459598698084
-0.004609141333333334,0.09777053351458447
-0.004608101333333333,0.09105955840381642
-0.004607061333333333,0.08468413204859183
-0.004606021333333333,0.07730205942675673
-0.004604981333333333,0.07126218182707071
-0.004603941333333333,0.06488675547184658
-0.004602901333333334,0.05817578036108434
-0.004601861333333334,0.0511292564947872
-0.004600821333333334,0.04542492765063868
-0.004599781333333333,0.03871395253987125
-0.004598741333333333,0.03300962369572288
-0.004597701333333333,0.02629864858496369
-0.004596661333333333,0.02126541725189201
-0.004595621333333333,0.01321224711897732
-0.004594581333333334,0.006501272008215082
-0.004593541333333334,-0.0005452518580820673
-0.004592501333333334,-0.005578483191154664
-0.004591461333333333,-0.01329610456853612
-0.004590421333333333,-0.0190004334126851
-0.004589381333333333,-0.02705360354559613
-0.004588341333333333,-0.03309348114528214
-0.004587301333333333,-0.03879780998943005
-0.004586261333333333,-0.0458443338557304
-0.004585221333333334,-0.05221976021095453
-0.004584181333333334,-0.05859518656617576
-0.004583141333333334,-0.06631280794355172
-0.004582101333333333,-0.073694880565396
-0.004581061333333333,-0.07872811189846539
-0.004580021333333333,-0.08510353825368952
-0.004578981333333333,-0.09181451336445176
-0.004577941333333333,-0.09919658598629022
-0.004576901333333334,-0.1042298173193619
-0.004575861333333334,-0.111276341185659
-0.004574821333333334,-0.1183228650519594
-0.004573781333333333,-0.1257049376738034
-0.004572741333333333,-0.1307381690068755
-0.004571701333333333,-0.1367780466065588
-0.004570661333333333,-0.1448312167394735
-0.004569621333333333,-0.1515421918502357
-0.004568581333333334,-0.1572465206943836
-0.004567541333333334,-0.1642930445606808
-0.004566501333333334,-0.1706684709159052
-0.004565461333333333,-0.1770438972711351
-0.004564421333333333,-0.1834193236263594
-0.004563381333333333,-0.1901302987371186
-0.004562341333333333,-0.1958346275812665
-0.004561301333333333,-0.2018745051809525
-0.004560261333333334,-0.2085854802917148
-0.004559221333333334,-0.2156320041580119
-0.004558181333333334,-0.2226785280243123
-0.004557141333333333,-0.2280473081129278
-0.004556101333333333,-0.2337516369570763
-0.004555061333333333,-0.2407981608233735
-0.004554021333333333,-0.2471735871785976
-0.004552981333333333,-0.2525423672672074
-0.004551941333333333,-0.2595888911335078
-0.004550901333333334,-0.2666354149998081
-0.004549861333333334,-0.2730108413550294
-0.004548821333333334,-0.2780440726881017
-0.004547781333333333,-0.285761694065483
-0.004546741333333333,-0.2911304741540903
-0.004545701333333333,-0.2978414492648526
-0.004544661333333333,-0.3032102293534624
-0.004543621333333333,-0.310927850730839
-0.004542581333333334,-0.3169677283305249
-0.004541541333333334,-0.3230076059302083
-0.004540501333333334,-0.3290474835298943
-0.004539461333333333,-0.3357584586406619
-0.004538421333333333,-0.3417983362403477
-0.004537381333333333,-0.347167116328955
-0.004536341333333333,-0.3538780914397173
-0.004535301333333333,-0.3602535177949414
-0.004534261333333334,-0.3666289441501656
